sen1	sen2	src	score
차 한 대가 도로를 따라 운행된다.	한 소녀가 길을 따라 걷고 있다.	main-captions	1.200
남자가 여자에게 키스하고 포옹하고 있다.	한 남자가 여자를 안고 키스하고 있다.	main-captions	5.000
기차가 움직이고 있다.	한 남자가 요가를 하고 있다.	main-captions	0.000
누군가가 양파를 자르고 있다.	한 여자가 양파를 자르고 있다.	main-captions	3.800
한 여성이 바다에서 놀고 있다.	한 여성이 요리를 위해 새우를 준비하고 있다.	main-captions	0.750
한 사람이 전자 키보드를 연주하고 있다.	한 아이가 키보드를 연주하고 있다.	main-captions	3.400
한 남자가 잎을 들고 있다.	원숭이가 한 남자와 싸우고 있다.	main-captions	0.000
한 여성이 새우 껍질을 벗기고 있다.	하 남자가 물을 짜고 있다.	main-captions	0.200
한 남자가 앉아서 담배를 피우고 있다.	한 남자가 담배를 피우고 있다.	main-captions	4.000
한 남자가 기타를 치고 있다.	한 여자가 말을 타고 있다.	main-captions	0.500
한 남자가 창문 앞에 서서 밖을 바라보고 있다.	한 남자가 창밖을 내다보고 있다.	main-captions	3.800
스컹크가 여기저기를 보고 있다.	스컹크가 카메라를 본다.	main-captions	2.400
한 남자가 기타를 치고 노래를 부르고 있다.	한 남자가 기타로 노래를 부른다.	main-captions	4.750
한 여자가 창문을 연다.	한 남자가 기어가고 있다.	main-captions	0.000
사람들이 밖에서 춤을 추고 있다.	한 무리의 사람들이 춤을 추고 있다.	main-captions	3.750
남자가 카메라를 이용해 못을 박고 있다.	누군가가 카메라 렌즈를 손톱에 대고 두드리고 있다.	main-captions	2.600
한 여자가 손톱을 다듬고 있다.	한 남자가 당근 껍질을 벗기고 있다.	main-captions	0.000
한 소년이 개집으로 기어들어가고 있다.	한 소년이 나무 피리를 연주하고 있다.	main-captions	0.750
한 여성이 물속에서 수영하고 있다.	한 남자가 당근을 썰고 있다.	main-captions	0.000
기계가 연필을 갈고 있다.	그 기계는 연필의 끝을 깎아 냈다.	main-captions	3.800
원숭이가 드럼을 치고 있다.	고릴라는 드럼을 연주한다.	main-captions	2.800
한 남자가 상자를 열고 종이를 꺼내고 있다.	한 여성이 감자 껍질을 벗기고 있다.	main-captions	0.000
한 여자가 춤을 추고 있다.	한 여성이 클라리넷을 연주한다.	main-captions	0.800
한 사람이 커다란 터치스크린에 그림을 그리고 있다.	한 남자가 디지털 건식 지우개에 그림을 그리고 있다.	main-captions	3.000
놀고 있던 남자들은 잔디밭에 있는 지도자를 따른다.	코뿔소가 풀밭에서 풀을 뜯었다.	main-captions	1.000
한 여자가 달걀을 깨고 있다.	한 남자가 여자와 이야기를 하고 있다.	main-captions	0.000
한 여성이 손으로 마늘을 벗긴다.	여자가 약초를 썰고 있다.	main-captions	1.000
북극곰은 그 살인을 놓고 싸웠다.	북극곰들이 서로 싸우고 있다.	main-captions	3.400
한 남자가 카드놀이로 장난을 치고 있다.	한 남자가 카드 트릭을 하고 있다.	main-captions	5.000
고양이가 병을 핥고 있다.	고양이가 작은 병으로 놀아요.	main-captions	2.333
한 사람이 양파를 자르고 있다.	한 사람이 생강을 잘랐다.	main-captions	1.400
한 사람이 감자 껍질을 벗기는 기계로 감자 껍질을 벗기고 있다.	한 남자가 토마토를 절단기로 자르고 있다.	main-captions	0.750
두 명의 여성이 군중 앞에서 춤을 추고 노래를 부르고 있다.	여자들이 노래하고 춤추고 있다.	main-captions	3.538
한 남자가 당근을 양념하고 있다.	한 여성이 마늘을 썰고 있다.	main-captions	0.800
두 남자가 수레를 밀고 숲을 통과했다.	두 남자가 카트를 밀고 있다.	main-captions	3.500
한 남자가 축구를 하고 있다.	한 남자가 발로 축구공을 조종하고 있다.	main-captions	2.000
그 여자는 감자 껍질을 벗겼다.	한 여성이 감자 껍질을 벗기고 있다.	main-captions	4.750
한 여성이 두부를 자르고 있다.	한 여성이 두부의 한 블록을 작은 정육면체로 자르고 있다.	main-captions	4.000
누군가 키보드를 쳤다.	누군가가 타자를 치고 있다.	main-captions	4.500
세 명의 젊은이들이 콜라 기계에서 뛰고 뛰어내리고 차고 있다.	세 남자가 벽에서 뛰어내리고 있다.	main-captions	1.500
한 젊은 아시아 소녀가 아이라이너를 쓰고 있다.	한 소녀가 눈 화장을 하고 있다.	main-captions	2.400
고양이가 집 주위를 돌아다니고 있다.	한 여성이 감자 껍질을 벗기고 있다.	main-captions	0.000
한 여성이 그것을 어루만질 때 그녀의 애완 토끼와 이야기를 나누고 있다.	한 여성이 개를 아스트로 잔디밭으로 데리고 간다.	main-captions	0.400
원숭이가 드럼을 치고 있다.	고릴라 의상을 입은 누군가가 드럼 세트를 연주하고 있다.	main-captions	2.500
한 남자가 밀폐된 땅에서 흰말을 타고 있다.	누군가가 말을 타고 있다.	main-captions	2.600
한 동양인 여성이 당근을 얇은 조각으로 자르고 있다.	한 여성이 당근을 자르고 있다.	main-captions	3.600
한 무리의 사람들이 춤을 추고 있다.	여자들이 밖에서 춤을 추고 있다.	main-captions	3.000
한 남자가 기타를 치고 있다.	한 소년이 거대한 개와 이야기를 나누고 있다.	main-captions	0.000
한 여자는 채소를 섞는다.	한 여성이 프라이팬에 재료를 첨가하고 있다.	main-captions	1.600
한 여성이 그릇에 혼합물을 부어 섞는다.	한 여성이 프라이팬에 계란을 준비하고 있다.	main-captions	1.250
한 남자가 버터 조각들을 믹싱 볼에 넣고 있다.	버터 조각은 스탠드 믹서에 첨가됩니다.	main-captions	3.600
한 남자가 빵 조각에 마늘을 넣고 있다.	한 남자가 여러 조각의 버터를 바른 빵에 양념을 뿌리고 있다.	main-captions	2.000
판다 곰은 통나무 위에 누워 있었다.	판다가 누워 있다.	main-captions	3.600
다섯 명의 남자가 수영장에 뛰어든다.	수영선수들이 수영장에 떨어진다.	main-captions	2.800
치타가 먹이를 쫓아 뛰어가고 있다.	치타는 들판을 가로질러서 먹이를 쫓는다.	main-captions	4.400
고양이가 바닥에서 놀고 있다.	한 남자가 마늘을 자르고 있다.	main-captions	0.000
한 소년이 무대에서 바이올린을 연주하고 있다.	한 사람이 냄비를 섞고 있다.	main-captions	0.000
개가 장난감을 향해 짖고 있다.	그 작은 개가 전자 장난감을 향해 짖었다.	main-captions	3.750
한 남자가 자전거를 타고 있다.	한 소년이 자전거를 타고 있다.	main-captions	2.500
한 여성이 생강을 썰고 있다.	한 사람이 두 개의 아기 용변을 들고 있다.	main-captions	0.000
한 남자가 죽은 사슴을 끌고 있다.	한 남자가 절벽에서 물속으로 뛰어들고 있다.	main-captions	0.800
한 남자가 요리를 위해 뱀을 준비하고 있다.	남자가 얇게 썬 오이를 물에 떨어뜨리고 있다.	main-captions	1.000
한 여성이 빵 롤에 겨자를 바르고 있다.	한 고양이가 여자의 손가락으로 놀고 있다.	main-captions	0.000
누군가가 줄을 씹고 있는 고양이를 만졌다.	누군가가 종이를 자르고 있다.	main-captions	0.250
고기가 프라이팬에 넣어지고 있다.	한 여성이 아기를 쓰레기통에 넣고 있다.	main-captions	0.400
한 아기 코끼리가 작은 나무를 먹고 있다.	한 어린 소녀가 스쿠터를 만지작거리고 있다.	main-captions	0.000
한 여자와 남자가 빗속에서 춤을 추고 있다.	한 남자와 여자가 비 속에서 춤을 추고 있다.	main-captions	5.000
누군가가 그림을 그리고 있다.	누군가 춤을 추고 있다.	main-captions	0.300
한 남자가 기타를 치고 있다.	한 여성이 기타를 연주하고 있다.	main-captions	2.750
두 남자가 링에서 주먹다짐을 하고 있다.	두 남자가 링에서 주먹다짐을 한다.	main-captions	5.000
사람은 쟁반에 버터를 바른다.	사람이 쟁반에 버터를 바르고 있다.	main-captions	4.250
두 남자가 축구를 하고 있다.	두 남자가 축구를 연습하고 있다.	main-captions	3.400
남자가 기타를 연주하고 있다.	소녀가 기타를 치고 있다.	main-captions	1.600
한 남자가 감자 껍질을 벗기고 있다.	한 남자가 감자를 자르고 있다.	main-captions	2.600
한 여성이 포크로 감자를 찌르고 있다.	한 여성이 포크로 감자를 찔러 넣고 있다.	main-captions	5.000
한 아이가 깨어나고 있다.	한 소녀가 깨어나고 있다.	main-captions	3.200
한 소년이 키보드를 연주하고 있다.	한 어린 소년이 키보드를 연주하고 있다.	main-captions	4.800
한 여성이 플루트를 연주한다.	한 여성이 플루트를 연주하고 있다.	main-captions	5.000
한 여성이 일렉트릭 기타를 연주하고 있다.	한 남자가 어쿠스틱 기타를 연주하고 있다.	main-captions	2.400
남자가 플루트를 연주하고 있다.	한 남자가 기타를 치고 있다.	main-captions	2.000
한 무리의 사람들이 집에서 물을 쓸어내고 있다.	사람들이 집에서 물을 쓸어내고 있다.	main-captions	5.000
한 남자가 기타를 연주한다.	한 남자가 기타를 치고 있다.	main-captions	5.000
한 남자와 여자가 서로 키스하고 있다.	한 남자와 한 여자가 서로 포옹하고 키스하고 있다.	main-captions	3.400
한 여성이 절벽을 오르고 있다.	한 여성이 바위 위를 오르고 있다.	main-captions	4.500
북극곰이 해마 무리를 향해 달려가고 있다.	북극곰이 한 무리의 해마를 쫓고 있다.	main-captions	4.200
한 여자가 생선을 자르고 있다.	한 여자가 두부를 자르고 있다.	main-captions	2.200
누군가 피아노를 치고 있다.	누군가 기타를 치고 있다.	main-captions	2.400
한 남자가 쌀 한 송이를 팬에 붓고 있다.	한 남자가 ric-a-roni를 팬에 부었다.	main-captions	3.800
한 남자가 손으로 나무판자를 깨고 있다.	한 남자가 손으로 타일을 깨고 있다.	main-captions	2.500
한 소녀가 기타를 치고 있다.	한 소녀가 피아노를 치고 있다.	main-captions	2.000
한 남자가 기도하고 있다.	한 남자가 춤을 추고 있다.	main-captions	0.750
한 남자가 피아노를 치고 있다.	한 남자가 바이올린을 연주하고 있다.	main-captions	2.000
한 여성이 양파를 자르고 있다.	한 여성이 레몬을 썰고 있다.	main-captions	2.200
한 남자가 개울가에서 말을 타고 있다.	한 남자가 말을 타고 있다.	main-captions	4.000
한 남자가 기타를 치고 있다.	한 남자가 기타를 치고 노래를 부르고 있다.	main-captions	3.200
한 남자가 나무를 집어 들고 있다.	한 남자가 나무를 들고 있다.	main-captions	3.800
한 사람이 감자 껍질을 벗기고 있다.	남자가 감자 껍질을 벗기고 있다.	main-captions	3.750
한 사람이 피아노를 치고 있다.	한 사람이 감자를 자르고 있다.	main-captions	0.500
한 남자가 침을 뱉고 있다.	한 남자가 말하고 있다.	main-captions	0.800
한 남자가 음악 키보드를 연주하고 있다.	한 남자가 키보드 피아노를 연주하고 있다.	main-captions	5.000
한 남자가 춤을 추고 있다.	한 남자가 생각하고 있다.	main-captions	1.200
한 남자가 트럼펫을 연주한다.	한 남자가 트럼펫을 연주하고 있다.	main-captions	5.000
한 여자가 말을 타고 있다.	한 남자가 말을 탄다.	main-captions	2.800
한 밴드가 무대에서 연주하고 있다.	한 여성이 무대에서 춤을 추고 있다.	main-captions	1.200
한 여성이 기타를 치고 노래를 부르고 있다.	한 여성이 기타를 연주하고 있다.	main-captions	3.200
남자가 먹고 있다.	한 남자가 음식을 먹고 있다.	main-captions	4.600
한 소년이 골프공을 치다.	그 어린 소년은 골프공을 향해 휘둘렀다.	main-captions	4.000
한 남자가 그의 선글라스를 벗고 있다.	한 소년이 그의 선글라스를 벗고 있다.	main-captions	3.800
누군가가 이메일을 읽고 있다.	한 남자가 이메일을 읽고 있다.	main-captions	3.400
한 사람이 양파를 자르고 있다.	누군가가 양파를 자르고 있다.	main-captions	4.600
한 소녀가 차에 올라오고 있다.	한 소녀가 차 위로 뛰어오른다.	main-captions	2.600
한 남자가 드럼을 치고 있다.	한 남자가 그의 기타를 치고 있다.	main-captions	1.800
누군가가 양파를 자르고 있다.	누군가가 물고기를 들고 있다.	main-captions	0.750
한 여성이 껍질을 벗긴 감자를 굵은 조각으로 썰고 있다.	한 여성이 껍질을 벗긴 감자를 조각들로 자르고 있다.	main-captions	4.000
한 어린 소녀가 스쿠터를 만지작거리고 있다.	한 소녀가 스쿠터를 타고 있다.	main-captions	2.750
고양이는 스스로 청소를 한다.	고양이가 핥고 있다.	main-captions	3.800
한 남자가 축구공을 차고 있다.	한 남자가 축구공으로 묘기를 부리고 있다.	main-captions	2.600
한 여자가 창문을 연다.	한 여성이 창밖을 내다보고 있다.	main-captions	2.000
세 남자가 거리에서 같은 춤을 추고 있다.	세 명의 셔츠를 벗은 남자들이 거리에서 춤을 추고 있다.	main-captions	3.800
남자가 기타를 연주하고 있다.	남자가 감자 껍질을 벗기고 있다.	main-captions	0.583
한 남자가 춤을 추고 있다.	한 여자가 운동을 하고 있다.	main-captions	0.400
한 여자가 운동을 하고 있다.	한 남자가 춤을 추고 있다.	main-captions	0.250
한 소년이 무대에서 바이올린을 연주하고 있다.	한 소년이 악기를 연주하고 있다.	main-captions	2.800
여자가 다른 여자를 재고 있다.	그 여자는 다른 여자의 발목을 재었다.	main-captions	3.200
한 남자가 운동을 하고 있다.	한 남자가 소총을 발사하고 있다.	main-captions	0.500
개가 장난감을 가지고 놀고 있다.	개가 인형을 먹고 있다.	main-captions	2.250
한 남자가 피아노를 치고 있다.	한 남자가 감자 껍질을 벗기고 있다.	main-captions	0.000
한 남자가 볼링을 하고 있다.	고양이가 걷고 있다.	main-captions	0.000
한 여성이 불 근처에서 춤을 추고 있다.	한 여성이 토마토를 자르고 있다.	main-captions	0.308
한 남자가 침대를 만들고 있다.	한 남자가 청중에게 말하고 있다.	main-captions	0.750
한 사람이 오토바이를 타고 있다.	한 사람이 양파를 자르고 있다.	main-captions	0.400
한 남자가 냄비에 쌀을 붓는다.	한 남자가 밥을 그릇 냄비에 넣고 있다.	main-captions	4.200
한 사람이 마늘을 썰고 있다.	한 사람이 칼로 마늘 한 송이를 찔러 넣고 있다.	main-captions	3.750
한 여성이 생강을 썰고 있다.	한 여성이 감자를 자르고 있다.	main-captions	1.600
남자들이 축구를 하고 있다.	두 팀은 축구를 한다.	main-captions	3.000
한 사람이 호박을 문지르고 있다.	한 여성이 야채 붓으로 호박을 문지르고 있다.	main-captions	4.000
판다 곰이 막대기를 씹고 있다.	아기 판다가 막대기로 놀아요.	main-captions	3.000
사람들이 가방을 들어 올리고 있다.	몇몇 사람들이 큰 가방들을 들고 있다.	main-captions	3.750
한 남자가 전화로 말하고 있다.	한 남자가 가게를 문워크로 걷고 있다.	main-captions	0.400
한 여성이 그녀의 머리를 땋고 있다.	한 남자가 오토바이를 타고 있다.	main-captions	0.000
남자가 나무에 칼을 던지고 있다.	한 남자가 바깥의 가까운 목표물에 칼날을 던지고 있다.	main-captions	3.000
여자가 두부를 자르고 있다.	여자가 립스틱을 바르고 있다.	main-captions	0.400
한 여자가 종이를 접고 있다.	한 여성이 아이섀도를 바르고 있다.	main-captions	0.400
누군가가 종이를 접고 있다.	한 사람이 작은 생강 조각을 자르고 있다.	main-captions	0.250
한 남자가 역기를 들어 올리고 있다.	한 남자가 가지를 자르고 있다.	main-captions	0.250
한 남자가 첼로를 연주하고 있다.	한 남자가 작은 무게를 빠르게 들어 올리고 있다.	main-captions	0.400
남자가 말하고 있다.	한 남자가 계단을 내려가고 있다.	main-captions	0.400
한 남자가 뱀에게 쥐를 먹이려고 한다.	한 남자가 쥐로 뱀을 놀리고 있다.	main-captions	3.200
한 남자가 드럼을 치고 있다.	한 여성이 잎을 자르고 있다.	main-captions	0.000
한 남자가 우쿨렐레를 연주하고 있다.	한 남자가 앉아서 작은 기타를 연주하고 있다.	main-captions	2.200
새끼 고양이가 그릇에서 우유를 마시고 있다.	한 어린아이가 컵에서 물을 마시고 있다.	main-captions	0.800
한 남자가 다른 남자에게 콘크리트 블록을 부순다.	한 여성이 계란을 팬에 부순다.	main-captions	0.800
한 남자가 꽃병으로 소년을 때리고 있다.	한 남자가 매트를 자르고 있다.	main-captions	0.300
남자가 휘핑크림을 섞고 있다.	남자가 스컹크를 들고 있다.	main-captions	0.000
한 남자가 주스를 저어주고 있다.	한 남자가 양파 껍질을 벗기고 있다.	main-captions	0.750
누군가가 조리되지 않은 갈비뼈 두 개를 잘라내고 있다.	누군가가 고기를 자르고 있다.	main-captions	2.333
한 남자가 물냄비를 걷어차고 있다.	한 남자가 음식을 돌리고 있다.	main-captions	1.333
두 명의 어린 소녀가 전화로 이야기한다.	두 커플이 서로 이야기를 나누고 있다.	main-captions	1.200
고양이는 움직이는 천장 팬에 갇힌다.	고양이가 팬 위에서 달랑 거리고 있다.	main-captions	4.200
고양이가 우유를 마시고 있다.	흰 고양이가 접시에 보관된 우유를 핥고 마시고 있다.	main-captions	3.800
록키와 아폴로 크리드가 해변을 따라 달리고 있다.	남자들이 해변에서 조깅을 하고 있다.	main-captions	3.000
한 남자가 기타를 연주하면서 노래를 부르고 있다.	한 남자가 스스로를 음식으로 가득 채우고 있다.	main-captions	0.500
한 보트가 물 위를 항해한다.	남자가 기타를 연주하고 있다.	main-captions	0.000
오카피가 나무에서 먹고 있다.	무스는 스프링클러에서 마신다.	main-captions	0.333
몇몇 아이들이 트램폴린을 타고 위아래로 뛰어내립니다.	한 남자가 트램폴린을 백플립을 하고 있다.	main-captions	1.500
한 여성이 프라이팬에 계란을 부어 넣고 있다.	한 남자가 개 두 마리를 쓰다듬고 있다.	main-captions	0.167
한 여성이 간 고기를 튀기고 있다.	한 남자가 도끼로 나무 덩이를 자르고 있다.	main-captions	0.500
가라데 의상을 입은 세 소년이 싸우고 있다.	세 남자가 들판에서 가라데 동작을 연습하고 있다.	main-captions	1.250
수영하는 사람들이 호수에서 경주를 하고 있다.	여자 수영선수들이 출발 플랫폼에서 다이빙을 하고 있다.	main-captions	1.600
한 사람이 국수를 끓이고 있다.	고양이가 병을 핥고 있다.	main-captions	0.000
한 사람이 양파를 썰고 있다.	한 여성이 허브를 자르고 있다.	main-captions	1.000
한 남자가 물고기를 낚아채다.	한 여자가 그릇에 기름을 부어 넣고 있다.	main-captions	0.000
여자가 양파를 자르고 있다.	한 말이 서 있다.	main-captions	0.000
한 숙녀가 그릇에 고기 혼합물을 섞었다.	한 여자가 그릇에 고기를 넣고 저어대고 있다.	main-captions	4.000
한 소녀가 얼굴에 화장을 하고 있다.	한 여성이 화장을 하고 있다.	main-captions	2.750
한 여자가 화장을 한다.	한 여성이 아이섀도를 쓰고 있다.	main-captions	3.333
고양이가 물속에서 놀고 있다.	고양이가 빨대를 물 접시에서 낚아챘다.	main-captions	3.500
한 사람이 팬에 음식을 넣고 있다.	한 남자가 거리에서 춤을 추고 있다.	main-captions	0.188
한 남자가 담배를 피우고 있다.	한 아기가 젖꼭지를 빨고 있다.	main-captions	0.000
한 사람이 냄비에 치즈를 갈기갈기 찢고 있다.	햄스터가 씨앗을 먹고 있다.	main-captions	0.250
한 남자가 분필 판을 지우고 있다.	한 여성이 춤을 추고 노래하고 있다.	main-captions	0.364
남자가 운동을 하고 있다.	한 남자가 풀업을 하고 있다.	main-captions	3.200
침팬지가 목표물을 걷어차고 있다.	한 여성이 프라이팬에 기름을 넣고 있다.	main-captions	0.000
한 남자가 운동을 하고 있다.	한 아기가 웃고 있다.	main-captions	0.000
소녀가 아기를 임신하고 있다.	한 남자가 음식을 먹고 있다.	main-captions	0.000
몇몇 수영선수들이 물속으로 뛰어든다.	수영하는 사람들이 호수에서 경주를 하고 있다.	main-captions	1.750
한 남자가 서핑보드 위에서 회전한다.	한 남자가 닭고기에 바비큐 소스를 얹고 있다.	main-captions	0.000
한 젊은이가 스케이트보드를 타고 보도로 뛰어내리고 다른 연석에서 내려온다.	한 남자가 스케이트보드를 타고 있다.	main-captions	2.750
한 사람은 오렌지 후추를 썰어 먹는다.	요리사가 피망을 썰고 있다.	main-captions	1.800
두 남자가 함께 춤을 추고 있다.	한 여자가 옷장을 연다.	main-captions	0.000
한 남자가 이메일을 읽고 있다.	바나나를 여는 한 사람.	main-captions	0.000
호기심 많은 소년들은 헛간을 들여다본다.	숲이 우거진 지역에 있는 두 명의 작은 소년들이 헛간을 보고 있다.	main-captions	2.8
폐허의 계단 앞에서 모페드	폐허 앞에서의 모페드	main-captions	4.4
한 남자가 무릎에 아기를 안고 잔다.	한 남자가 아기를 안고 의자에 앉아 잠들어 있다.	main-captions	4
두 마리의 고양이가 창문을 보고 있다.	흰 고양이가 창문 밖을 내다보고 있다.	main-captions	2.6
헬멧을 쓴 한 사람은 하얀 구조물 근처에서 자전거를 탄다.	검은 반바지와 부츠를 신은 소녀가 파란 오토바이 옆에 서 있다.	main-captions	1.2
커피숍에서 자전거를 든 한 남자.	커피숍의 파티오까지 자전거를 끌고 걸어가는 남자.	main-captions	3.2
흑백 고양이는 높은 나뭇가지 위에 있다.	오른쪽 귀에 꼬리표가 달린 흑백 양.	main-captions	0.8
헬멧을 쓴 어린 금발 소녀가 빨간 자전거를 뒤에 두고 앉아 있습니다.	배경에 자전거를 두고 자전거 헬멧을 쓴 어린 소녀.	main-captions	3.4
거실에 있는 푸른 소파와 트윈 침대.	햇살이 비치는 푸른 소파	main-captions	2
양 떼가 들판에 흩어져 있다.	하얀 고양이가 바닥에 서 있다.	main-captions	0
소파에 앉아 있는 개 두 마리와 고양이 한 마리.	소파에 누워 있는 개 두 마리와 고양이 한 마리.	main-captions	4.6
자전거가 가게 옆에 주차되어 있다.	서점 밖에 자전거가 주차되어 있다.	main-captions	4
검은 가죽 의자에 담요 위에 누워 있는 오렌지색과 흰색 고양이.	적갈색과 흰 고양이가 몸을 웅크리고 가죽 의자에 앉아 잠들어 있었다.	main-captions	3.8
검은 소파에 앉아 있는 젊은 부부.	소파에 앉아 있는 젊은 부부.	main-captions	4
건물 앞에 모페드를 든 흑인 무리.	한 무리의 사람들이 노후한 건물 밖에 있다.	main-captions	2.8
빨간 무늬의 소파에 앉아 있는 노부인은 젊은 여성을 그녀의 팔로 감싼 채.	소파에 앉아 카메라를 위해 포즈를 취하고 있는 두 명의 여성.	main-captions	3.6
오렌지색 SUV의 뒷좌석에 탄 남자.	아주 꽉 찬 노란 밴 뒤에 매달려 있는 아프리카 남자	main-captions	1.8
빨간색과 흰색 버스가 도로를 따라 운전하고 있다.	버스가 바쁜 길을 따라 운전한다.	main-captions	3.6
빨간 쿠션 위에 누워 카메라를 보고 있는 고양이.	카메라를 올려다보는 고양이 침대 위에 누워 있는 황갈색 개.	main-captions	1.2
